BankName,City,ST,CERT,AcquiringInstitution,ClosingDate,UpdatedDate
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,1-Nov-13
1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,1-Feb-19
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6-Jun-13,8-Aug-18
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,31-Jan-19
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,18-Jan-13,12-Jul-16
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,5-Feb-15
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,31-Jan-19
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,1-Feb-19
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,18-May-12,21-Sep-15
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,21-Feb-18
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,19-Nov-10,26-Jul-17
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,29-Jan-19
Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,8-Aug-18
Allied Bank,Mulberry,AR,91,Today's Bank,23-Sep-16,13-May-19
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",24-Oct-08,1-Feb-19
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,31-Jan-19
Ameribank,Northfork,WV,6782,The Citizens Savings Bank,19-Sep-08,21-Sep-15
America West Bank,Layton,UT,35461,Cache Valley Bank,1-May-09,1-Feb-19
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,21-Feb-18
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,22-Feb-18
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,21-Sep-15
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,24-Apr-09,1-Feb-19
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,1-Feb-19
American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,29-Jan-19
American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,16-Jul-18
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,31-Jan-19
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,11-Sep-06
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,1-Feb-19
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,9-May-08,1-Feb-19
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,31-Jan-19
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,29-Jan-19
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,31-Jan-19
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,29-Jan-19
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",20-May-11,29-Jan-19
AztecAmerica Bank ,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,20-Oct-16
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,12-Sep-12
Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,18-Mar-05
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",22-Jul-11,29-Jan-19
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,16-Jan-09,31-Jan-19
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,17-Sep-10,6-Oct-17
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,22-Aug-12
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,9-Apr-08
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,8-Aug-16
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,8-Aug-16
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,8-Aug-16
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,31-Jan-19
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,17-Mar-05
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,31-Jan-19
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,20-Oct-16
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,1-Feb-19
